"id","title","image","genres","addedIn","release","averageRating","rating","backlogged"
"68","Resident Evil: Welcome to Raccoon City","https://image.tmdb.org/t/p/original//jPF6wQqKwv3xrXnaIEEyJaJwClf.jpg","Horror,Science Fiction,Action,","2023","2021-11-24 00:00:00.000","6.1","1.5","0"
"69","Glass Onion: A Knives Out Mystery","https://image.tmdb.org/t/p/original//vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg","Komödie,Krimi,Mystery,","2023","2022-11-23 00:00:00.000","7.1","4","0"
"70","Harry Potter 20th Anniversary: Return to Hogwarts","https://image.tmdb.org/t/p/original//gbzGZ0sQVjNDeG1U9ZwOLa0lVbL.jpg","Dokumentarfilm,","2022","2022-01-01 00:00:00.000","7.3","3","0"
"71","Guardians of the Galaxy Vol. 2","https://image.tmdb.org/t/p/original//txB1e1QSR2sedZsCjGBMgiT8hPm.jpg","Abenteuer,Action,Science Fiction,","2022","2017-05-05 00:00:00.000","7.6","5","0"
"72","Spider-Man: Homecoming","https://image.tmdb.org/t/p/original//iUJKhJVOjy4lvghAF84eMuWk8Ge.jpg","Action,Abenteuer,Science Fiction,","2022","2017-07-07 00:00:00.000","7.4","5","0"
"73","Red Notice","https://image.tmdb.org/t/p/original//qMcujb8b0Efsnz3kB0WwasmJNYj.jpg","Action,Komödie,Krimi,","2022","2021-11-05 00:00:00.000","6.8","3","0"
"74","Thor: Tag der Entscheidung","https://image.tmdb.org/t/p/original//8etFULS6CRN39vvXykQH1mUD1yB.jpg","Action,Abenteuer,Fantasy,","2022","2017-11-03 00:00:00.000","7.6","4.5","0"
"75","Cash Truck","https://image.tmdb.org/t/p/original//3fJQeeF6sJ2xMtrVZecw1QowHdG.jpg","Action,Krimi,Thriller,","2022","2021-05-07 00:00:00.000","7.7","2.5","0"
"76","Sieben","https://image.tmdb.org/t/p/original//79tFIrbMweqs52PxForIRJRFCIW.jpg","Krimi,Mystery,Thriller,","2022","1995-09-22 00:00:00.000","8.4","3.5","0"
"77","The Covenant","https://image.tmdb.org/t/p/original//wsd4dWaVklbdYPWHl7eGbKRAODv.jpg","Horror,","2022","2017-02-07 00:00:00.000","4.6","1.5","0"
"78","Guns Akimbo","https://image.tmdb.org/t/p/original//1pvLVieWEQJSyYtObNaBMoDoKqh.jpg","Komödie,Action,","2022","2020-02-28 00:00:00.000","6.5","4","0"
"79","Knives Out - Mord ist Familiensache","https://image.tmdb.org/t/p/original//ftCASOlSQ6QtjS3TIJB7xXHW5H9.jpg","Komödie,Krimi,Mystery,","2022","2019-11-27 00:00:00.000","7.9","5","0"
"80","Das Schloss im Himmel","https://image.tmdb.org/t/p/original//fJawYdTmoGXZyF9MzJpEtlAVb3s.jpg","Abenteuer,Fantasy,Animation,","2022","1989-04-01 00:00:00.000","8","5","0"
"81","The Grudge","https://image.tmdb.org/t/p/original//sVpA6uW6aFgRDtXxzwAQYkAvnqa.jpg","Horror,Mystery,","2022","2020-01-03 00:00:00.000","5.5","1","0"
"82","The Batman","https://image.tmdb.org/t/p/original//6zm78OqO4jWCpuaZ7q6Mb5j1beM.jpg","Krimi,Mystery,Thriller,","2022","2022-03-04 00:00:00.000","7.7","4.5","0"
"83","Don't Tell a Soul","https://image.tmdb.org/t/p/original//2lla8pP0wNlDAFgV83nZpYMWkeT.jpg","Krimi,","2022","2021-01-15 00:00:00.000","6.9","2","0"
"84","Antlers","https://image.tmdb.org/t/p/original//pBsetLoUvylC9ziMbmrPpVmevFX.jpg","Drama,Horror,Mystery,","2022","2021-10-29 00:00:00.000","6.3","1","0"
"85","Texas Chainsaw Massacre","https://image.tmdb.org/t/p/original//meRIRfADEGVo65xgPO6eZvJ0CRG.jpg","Horror,Thriller,","2022","2022-02-18 00:00:00.000","5.2","2","0"
"86","The Adam Project","https://image.tmdb.org/t/p/original//cudFMLMIMcdD761CXjixqdJ0zf6.jpg","Abenteuer,Science Fiction,","2022","2022-03-11 00:00:00.000","7.1","3.5","0"
"87","Uncharted","https://image.tmdb.org/t/p/original//sqLowacltbZLoCa4KYye64RvvdQ.jpg","Action,Abenteuer,","2022","2022-02-18 00:00:00.000","7.1","2.5","0"
"88","His House","https://image.tmdb.org/t/p/original//idh2QAy5NwBRN94ScmtWrukvOgJ.jpg","Horror,Thriller,","2022","2020-01-27 00:00:00.000","6.5","2.5","0"
"89","Pig","https://image.tmdb.org/t/p/original//1h7n9HmiouinyFFkjRbnteR6jNe.jpg","Drama,Thriller,","2022","2021-07-16 00:00:00.000","6.6","4","0"
"90","47 Ronin","https://image.tmdb.org/t/p/original//rveW1dfhhqhVqPIwa9IIVBPGgyb.jpg","Drama,Action,Fantasy,","2022","2013-12-25 00:00:00.000","6.1","2.5","0"
"91","Nobody","https://image.tmdb.org/t/p/original//vADkdNoZ2wEWMe49k1IyO5AE4P4.jpg","Action,Krimi,Thriller,","2022","2021-03-26 00:00:00.000","8.1","4","0"
"92","Morbius","https://image.tmdb.org/t/p/original//6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg","Action,Science Fiction,Fantasy,","2022","2022-04-01 00:00:00.000","6.2","3","0"
"93","Phantastische Tierwesen und wo sie zu finden sind","https://image.tmdb.org/t/p/original//9fTueAwk3btPHxFhi0PlcS2P9mb.jpg","Action,Abenteuer,Fantasy,","2022","2016-11-18 00:00:00.000","7.3","4","0"
"94","Jujutsu Kaisen 0","https://image.tmdb.org/t/p/original//4MAIb2ctURfs9YNIcEzk0IS4M5I.jpg","Animation,Action,Fantasy,","2022","2022-03-18 00:00:00.000","8.3","5","0"
"95","Phantastische Tierwesen: Grindelwalds Verbrechen","https://image.tmdb.org/t/p/original//wNGupBYMeUCmXCT3nUUQzIVLmuf.jpg","Fantasy,Abenteuer,Action,","2022","2018-11-16 00:00:00.000","6.9","3","0"
"96","Phantastische Tierwesen: Dumbledores Geheimnisse","https://image.tmdb.org/t/p/original//azNO7GzLjSRo1vt99gT6PY4O7M0.jpg","Fantasy,Abenteuer,Action,","2022","2022-04-15 00:00:00.000","6.8","3.5","0"
"97","The Northman","https://image.tmdb.org/t/p/original//kPUjG92le8QfG1BP2WzptMoT7PJ.jpg","Action,Abenteuer,Fantasy,","2022","2022-04-22 00:00:00.000","7.1","4","0"
"98","Doctor Strange in the Multiverse of Madness","https://image.tmdb.org/t/p/original//nRDLWnkyMpG2OnI9ZsV11y7Dh28.jpg","Fantasy,Action,Abenteuer,","2022","2022-05-06 00:00:00.000","7.4","4","0"
"99","Everything Everywhere All at Once","https://image.tmdb.org/t/p/original//d0H0WwZOnUDF0Pe2aAynFhli0nt.jpg","Action,Abenteuer,Science Fiction,","2022","2022-03-25 00:00:00.000","8.1","5","0"
"100","The Cabin in the Woods","https://image.tmdb.org/t/p/original//H00vei4r34VN5LjBONjMOwb5Kt.jpg","Horror,Fantasy,","2022","2012-04-12 00:00:00.000","6.6","2","0"
"101","Jackass 4.5","https://image.tmdb.org/t/p/original//bl686OSeMQOvs90IQAgt8QipCsB.jpg","Komödie,Action,Dokumentarfilm,","2022","2022-05-20 00:00:00.000","6.5","2.5","0"
"102","Jackass Forever","https://image.tmdb.org/t/p/original//mngVoRTfXT2tV7zaC2Xnq3u8RAR.jpg","Komödie,Dokumentarfilm,","2022","2022-02-04 00:00:00.000","6.8","2.5","0"
"103","Run","https://image.tmdb.org/t/p/original//aG8GSZSekxUlprmExbsHhPEeSvP.jpg","Thriller,Horror,Drama,","2022","2020-10-08 00:00:00.000","7.4","4","0"
"104","Thor: Love and Thunder","https://image.tmdb.org/t/p/original//yplCZnNHgMeGWEOa0e1bp6kfDOB.jpg","Fantasy,Action,Komödie,","2022","2022-07-08 00:00:00.000","6.7","3.5","0"
"105","Malasaña 32 – Haus des Bösen","https://image.tmdb.org/t/p/original//oml3XrQYGb31B5nRa8VGcyq6Hte.jpg","Drama,Horror,","2022","2021-07-07 00:00:00.000","6.5","1.5","0"
"106","Prey","https://image.tmdb.org/t/p/original//nglFdIeslQWImpuDABkVOxPDX1Z.jpg","Thriller,Action,Science Fiction,","2022","2022-08-02 00:00:00.000","7.8","3.5","0"
"107","Bullet Train","https://image.tmdb.org/t/p/original//kem6mZifzyIec1TDpd9srSRTpv7.jpg","Action,Komödie,Thriller,","2022","2022-08-05 00:00:00.000","7.5","3.5","0"
"108","Der Gesang der Flusskrebse","https://image.tmdb.org/t/p/original//2XsbkYabnSRtkHrxWk16v8oKA8m.jpg","Mystery,Drama,Thriller,","2022","2022-07-15 00:00:00.000","7.6","4","0"
"109","Nope","https://image.tmdb.org/t/p/original//2kQczFyFkZnIIukFi95tedMrmm.jpg","Horror,Mystery,Science Fiction,","2022","2022-07-22 00:00:00.000","6.9","0.5","0"
"110","Day Shift","https://image.tmdb.org/t/p/original//7kVcCiB9AWXaqoz39F7CqEQoE4n.jpg","Action,Fantasy,Horror,","2022","2022-08-10 00:00:00.000","6.9","3","0"
"111","Samaritan","https://image.tmdb.org/t/p/original//vwq5iboxYoaSpOmEQrhq9tHicq7.jpg","Action,Drama,Science Fiction,","2022","2022-08-25 00:00:00.000","6.8","2.5","0"
"112","The House at Night","https://image.tmdb.org/t/p/original//1csjEnBEZ3aLWyA5TUv0sEmewFk.jpg","Drama,Horror,Mystery,","2022","2021-08-20 00:00:00.000","6.7","1","0"
"113","The Sadness","https://image.tmdb.org/t/p/original//ghZw8AY4AgypSr5BmZcTAsX8bXN.jpg","Horror,Thriller,","2022","2022-05-12 00:00:00.000","6.7","0.5","0"
"114","Fate/Grand Order: First Order","https://image.tmdb.org/t/p/original//3u9kOT50sUxGGfzcVjljlQXbt4p.jpg","Action,Fantasy,Animation,","2022","2016-12-31 00:00:00.000","6.9","2","0"
"115","The Gray Man","https://image.tmdb.org/t/p/original//dsfrCccKPwPjBwL06cgWdVgwVkp.jpg","Action,Thriller,","2022","2022-07-15 00:00:00.000","7","2.5","0"
"116","Spider-Man: No Way Home","https://image.tmdb.org/t/p/original//iNKf4D0AzOj9GLq8ZyG3WZaqibL.jpg","Action,Abenteuer,Science Fiction,","2022","2021-12-17 00:00:00.000","8","5","0"
"117","Black Adam","https://image.tmdb.org/t/p/original//af5jyYU0DcQeI7z1YpKPTIbgPKX.jpg","Fantasy,Action,Science Fiction,","2022","2022-10-21 00:00:00.000","7.2","3","0"
"118","Black Panther: Wakanda Forever","https://image.tmdb.org/t/p/original//vo9QISNKYtDN40VKfQkPxbMOO9j.jpg","Action,Abenteuer,Science Fiction,","2022","2022-11-11 00:00:00.000","7.5","4","0"
"119","The Menu","https://image.tmdb.org/t/p/original//z4KppocjuYkxK4UOzgWqRS666IB.jpg","Komödie,Horror,Thriller,","2022","2022-11-18 00:00:00.000","7.3","4","0"
"120","Mr. Harrigan's Phone","https://image.tmdb.org/t/p/original//gPn9e8eP7TeKQU4IeWAMzOajR40.jpg","Drama,Thriller,Horror,","2022","2022-10-05 00:00:00.000","6.5","3","0"
"121","Stundenplan","https://image.tmdb.org/t/p/original//8m8q0oSGoUEfWiwR5S9lqLgE68J.jpg","Krimi,Thriller,","2022","2022-11-23 00:00:00.000","6.3","2.5","0"
"123","Ponyo - Das große Abenteuer am Meer","https://image.tmdb.org/t/p/original//wOQh7nZxNC6cEwrm9tP230MoVLz.jpg","Animation,Fantasy,Familie,","2022","2009-08-14 00:00:00.000","7.7","4","0"
"124","Avatar: The Way of Water","https://image.tmdb.org/t/p/original//bb1J2UjJQ8GfutD5L4ktprw5wBS.jpg","Science Fiction,Abenteuer,Action,","2022","2022-12-16 00:00:00.000","7.7","3.5","0"
"125","Terrifier - Ein wirklich böser Clown","https://image.tmdb.org/t/p/original//6PQqC4SbY910VvyVad6mvsboILU.jpg","Horror,Thriller,","2022","2016-03-15 00:00:00.000","6.6","2","0"
"126","Terrifier 2","https://image.tmdb.org/t/p/original//ydOS2qCqIdPvYbFuWFq1pfAzYsy.jpg","Horror,","2022","2022-10-06 00:00:00.000","7","2","0"
"127","Schlummerland","https://image.tmdb.org/t/p/original//3xrcEs9D93EsNWEG1UejBRyV8YB.jpg","Familie,Fantasy,Abenteuer,","2022","2022-11-09 00:00:00.000","7.6","1.5","0"
"128","Belle","https://image.tmdb.org/t/p/original//1hVkwW1gawLbDTNzFvZyN5PZImS.jpg","Animation,Science Fiction,Familie,","2022","2022-01-14 00:00:00.000","7.9","3.5","0"
"129","Voces – Die Stimmen","https://image.tmdb.org/t/p/original//knOnjjSMjQEoX8MYNhhNkwFS1ZN.jpg","Drama,Horror,Thriller,","2021","2020-11-27 00:00:00.000","6.6","2","0"
"130","Soul","https://image.tmdb.org/t/p/original//hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg","Animation,Familie,Komödie,","2021","2020-12-25 00:00:00.000","8.2","4","0"
"131","Ninja Assassin","https://image.tmdb.org/t/p/original//cWeShSNNKGW76E2nTrmic5G60wN.jpg","Action,Thriller,","2021","2009-09-29 00:00:00.000","6.5","1.5","0"
"132","Avengers: Age of Ultron","https://image.tmdb.org/t/p/original//woAP8YaiVIuo7YXTeqVQEhXBdfz.jpg","Action,Abenteuer,Science Fiction,","2021","2015-05-01 00:00:00.000","7.3","4","0"
"133","Wonder Woman 1984","https://image.tmdb.org/t/p/original//ftwMLX86qWcE3GI8wwfeLotorAc.jpg","Action,Abenteuer,Fantasy,","2021","2020-12-25 00:00:00.000","6.5","0.5","0"
"134","Phineas und Ferb – Der Film: Candace gegen das Universum","https://image.tmdb.org/t/p/original//44WBR3EDMBEvxBdZvtObnC2lopj.jpg","Familie,Animation,Science Fiction,","2021","2020-08-28 00:00:00.000","7.3","2","0"
"135","Zack Snyder's Justice League","https://image.tmdb.org/t/p/original//wg9km39kAI7lTyc1sfuUQUJDdYV.jpg","Action,Abenteuer,Fantasy,","2021","2021-03-18 00:00:00.000","8.2","3","0"
"136","28 Days Later","https://image.tmdb.org/t/p/original//iME8NTowyi42Dp2YpSp17J59wyO.jpg","Horror,Thriller,Science Fiction,","2021","2003-06-27 00:00:00.000","7.2","3","0"
"137","28 Weeks Later","https://image.tmdb.org/t/p/original//sPd5yoUn6T1dzRSUoMvY3hPUxSe.jpg","Horror,Thriller,Science Fiction,","2021","2007-05-11 00:00:00.000","6.6","3","0"
"138","Seaspiracy","https://image.tmdb.org/t/p/original//iFNri0fwn1WfCoxf3H3v1z8dCm4.jpg","Dokumentarfilm,","2021","2021-03-24 00:00:00.000","7.9","4","0"
"139","My Hero Academia - Two Heroes","https://image.tmdb.org/t/p/original//sRgCbH98p8HE4bG8fSMQxFZs6GX.jpg","Animation,Action,Abenteuer,","2021","2018-09-25 00:00:00.000","7.9","3.5","0"
"141","My Hero Academia - Heroes Rising","https://image.tmdb.org/t/p/original//dM4WSoNGZXRGDAmUvsZmft5m3Mq.jpg","Animation,Action,Fantasy,","2021","2020-02-26 00:00:00.000","8.2","3.5","0"
"142","Constantine","https://image.tmdb.org/t/p/original//sfzfZtEhRkAUWRjxRlzhcV6uas6.jpg","Fantasy,Action,Horror,","2021","2005-02-18 00:00:00.000","7","3","0"
"143","Kung Fu Hustle","https://image.tmdb.org/t/p/original//x1chznFnnYy44NmqAk7qJaeHlZC.jpg","Action,Komödie,Krimi,","2021","2005-04-08 00:00:00.000","7.4","4","0"
"144","Parasite","https://image.tmdb.org/t/p/original//hoqe3leVhHBgboB6G1bv1kB8K4p.jpg","Komödie,Thriller,Drama,","2021","2019-10-11 00:00:00.000","8.5","5","0"
"145","Tenet","https://image.tmdb.org/t/p/original//gr8rLs4QSu3c7sksYxUXqAvjTtL.jpg","Action,Thriller,Science Fiction,","2021","2020-09-03 00:00:00.000","7.2","5","0"
"146","Ghost in the Shell","https://image.tmdb.org/t/p/original//gsSpgjBGbxFgOWrRkKtwLax99az.jpg","Action,Krimi,Mystery,","2021","2017-03-31 00:00:00.000","6.1","1.5","0"
"147","Raya und der letzte Drache","https://image.tmdb.org/t/p/original//4ttpaPLFYCFrRgv3qVzNKTjwau1.jpg","Animation,Familie,Fantasy,","2021","2021-03-05 00:00:00.000","7.9","2","0"
"148","Black Widow","https://image.tmdb.org/t/p/original//gkyoYo9d6g98xjScnZwh3nL2Yfp.jpg","Action,Abenteuer,Science Fiction,","2021","2021-07-09 00:00:00.000","7.4","3.5","0"
"149","The Suicide Squad","https://image.tmdb.org/t/p/original//zNrFrmShSsu0bZfa6paQ2Dhv7En.jpg","Action,Komödie,Abenteuer,","2021","2021-08-06 00:00:00.000","7.6","4","0"
"150","Escape Room 2: No Way Out","https://image.tmdb.org/t/p/original//7n4G6SxvdWoFlePn5WcHomH6tCP.jpg","Horror,Thriller,Mystery,","2021","2021-07-16 00:00:00.000","6.7","2","0"
"151","Katakomben","https://image.tmdb.org/t/p/original//z2RKDmw078khx29BQXHjvSrmSiA.jpg","Horror,Thriller,","2021","2014-08-29 00:00:00.000","6.6","2.5","0"
"152","Godzilla vs. Kong","https://image.tmdb.org/t/p/original//vNKXuyL30bwFIafvg2ouKK0KDk9.jpg","Action,Fantasy,Science Fiction,","2021","2021-03-31 00:00:00.000","7.7","2.5","0"
"153","The Witcher: Nightmare of the Wolf","https://image.tmdb.org/t/p/original//3sLz2yv6vBDWqBbd8rdnNeoJ2kJ.jpg","Animation,Action,Fantasy,","2021","2021-08-23 00:00:00.000","7.6","4.5","0"
"154","Shang-Chi and the Legend of the Ten Rings","https://image.tmdb.org/t/p/original//AjXzHBNlmCXZnvpONbUhGtgiUiA.jpg","Action,Abenteuer,Fantasy,","2021","2021-09-03 00:00:00.000","7.6","5","0"
"155","Sweet Girl","https://image.tmdb.org/t/p/original//cP7odDzzFBD9ycxj2laTeFWGLjD.jpg","Action,Thriller,Drama,","2021","2021-08-18 00:00:00.000","6.7","2.5","0"
"157","Oxygen","https://image.tmdb.org/t/p/original//4ieLwzPsmYmmSfy34eIIOfWu6zo.jpg","Science Fiction,Thriller,Horror,","2021","2021-05-12 00:00:00.000","6.6","2","0"
"158","Candyman","https://image.tmdb.org/t/p/original//mx9dUkAKzIXaeNY5jtjHZcIeWh0.jpg","Horror,Mystery,Thriller,","2021","2021-08-27 00:00:00.000","6.1","2.5","0"
"159","Malevolent","https://image.tmdb.org/t/p/original//lm29Sf2uI69CmbCsUkWFn7sbvL6.jpg","Horror,","2021","2018-10-05 00:00:00.000","5","2","0"
"160","Army of the Dead","https://image.tmdb.org/t/p/original//z8CExJekGrEThbpMXAmCFvvgoJR.jpg","Action,Krimi,Horror,","2021","2021-05-14 00:00:00.000","6.3","2.5","0"
"161","Don't Breathe 2","https://image.tmdb.org/t/p/original//jxdXp1ZAE47AiaktKRJtoG0xYpq.jpg","Thriller,Horror,","2021","2021-08-13 00:00:00.000","7.2","3","0"
"162","Blood Red Sky","https://image.tmdb.org/t/p/original//d7nATEk0a6b3n2lqpT2DVgPQ0pc.jpg","Horror,Thriller,Action,","2021","2021-07-23 00:00:00.000","7","3","0"
"163","Demon Slayer: Kimetsu no Yaiba - Mugen Train","https://image.tmdb.org/t/p/original//wms1bzZA6RYAumrq8tysdcRQ0GP.jpg","Animation,Action,Abenteuer,","2021","2021-02-26 00:00:00.000","8.3","5","0"
"164","Dune","https://image.tmdb.org/t/p/original//34Hr4bEzF30jd6sEvI4HihEUEI8.jpg","Science Fiction,Abenteuer,","2021","2021-10-22 00:00:00.000","7.8","3.5","0"
"165","Free Guy","https://image.tmdb.org/t/p/original//7PY0SkhIGgPS4XVyDJqaiDb4T93.jpg","Komödie,Abenteuer,Science Fiction,","2021","2021-08-13 00:00:00.000","7.6","3","0"
"166","Hitman: Agent 47","https://image.tmdb.org/t/p/original//cTW5P48kJEN5SilU9KeOlebIbui.jpg","Action,Krimi,Thriller,","2021","2015-08-21 00:00:00.000","5.8","1","0"
"167","Guardians of the Galaxy","https://image.tmdb.org/t/p/original//2YVXuOMoIuic3xfxyFD5ThGXegb.jpg","Action,Science Fiction,Abenteuer,","2021","2014-08-01 00:00:00.000","7.9","5","0"
"168","Guardians of the Galaxy Vol. 2","https://image.tmdb.org/t/p/original//txB1e1QSR2sedZsCjGBMgiT8hPm.jpg","Abenteuer,Action,Science Fiction,","2021","2017-05-05 00:00:00.000","7.6","5","0"
"169","The Guardians of the Galaxy Holiday Special","https://image.tmdb.org/t/p/original//8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg","Komödie,Science Fiction,Abenteuer,","2022","2022-11-25 00:00:00.000","7.4","4.5","0"
"170","Venom: Let There Be Carnage","https://image.tmdb.org/t/p/original//ztoy8TiHu9qa22bW1DkhdNIzeF9.jpg","Science Fiction,Action,Abenteuer,","2021","2021-10-01 00:00:00.000","6.9","3","0"
